병원ID,병원명,급성,만성,암
H001,서울대학교병원,98,95,99
H002,연세대학교 세브란스병원,96,96,97
H003,삼성서울병원,95,94,98
H004,서울아산병원,97,96,98
H005,서울성모병원,94,95,95
H006,고려대학교 안암병원,92,90,91
H007,경희대학교병원,89,91,88
H008,한양대학교병원,89,88,89
H009,이대서울병원,87,89,86
H010,이화여자대학교 목동병원,86,87,88
H011,중앙대학교병원,89,88,87
H012,건국대학교병원,88,89,87
H013,강동경희대학교병원,86,88,85
H014,분당서울대학교병원,95,94,96
H015,아주대학교병원,94,90,91
H016,차의과학대학교 분당차병원,86,87,86
H017,한림대학교성심병원,88,86,85
H018,순천향대학교 부천병원,87,87,86
H019,명지병원,85,86,84
H020,동국대학교일산병원,86,86,85
H021,국민건강보험 일산병원,87,88,87
H022,가톨릭대학교 성빈센트병원,86,85,85
H023,용인세브란스병원,88,87,88
H024,인하대학교병원,89,87,88
H025,가천대 길병원,91,88,89
H026,가톨릭대학교 인천성모병원,87,87,86
